artsnavn;bemaerk_antal
Afrikansk Skestork;1
Aftenfalk;1
Agerhøne;10
Alaskaryle;1
Albatros sp.;1
Alexanderparakit;1
Alk;10
Alk, Atlantisk (ssp. islandica);1
Alk, Nordlig (ssp. torda);1
Alkefugl sp.;10
Allike;500
Allike, Almindelig (ssp. monedula);500
Allike, Halsbåndsallike (ssp. soemmerringii);1
Allike, Vestlig (ssp. spermologus);1
Almindelig Kjove;1
Almindelig Kjove/Lille Kjove;1
Almindelig Ryle;1000
Almindelig Ryle, Engryle (ssp. schinzii);1
Almindelig Ryle, Nordlig (ssp. alpina);1000
Almindelig Skråpe;1
Alpejernspurv;1
Alpesejler;1
Amerikansk Fløjlsand;1
Amerikansk Hjejle;1
Amerikansk Hjejle/Sibirisk Hjejle;1
Amerikansk Kærhøg;1
Amerikansk Pibeand;1
Amerikansk Pibeand x Pibeand (hybrid);1
Amerikansk Rørdrum;1
Amerikansk Skarveand;1
Amerikansk Skarveand x 
Hvidhovedet And (hybrid);1
Amerikansk Sortand;1
Amerikansk Svømmesneppe;1
Amerikansk Sølvmåge;1
Amerikansk Tårnfalk;1
Amerikansk/Asiatisk Fløjlsand;1
Amursvale;1
Andefugl sp.;1000
Armensk Måge;1
Asiatisk Fløjlsand;1
Asiatisk Ørkensanger;1
Atlantisk Skråpe;1
Atlantisk Skråpe/Scopolis Skråpe;1
Atlantisk/Scopolis/Storskråpe;1
Atlingand;1
Audouinsmåge;1
Aztekerterne;1
Bairdsryle;1
Bartramsklire;1
Beringhavørn;1
Biæder;1
Bjergand;1
Bjerghortulan;1
Bjergirisk;100
Bjerglærke;1
Bjergløvsanger;1
Bjergløvsanger/Balkanløvsanger;1
Bjergpiber;1
Bjergpiber/Skærpiber;3
Bjergvipstjert;3
Bleg Gulbug;1
Blisgås;100
Blisgås (ssp. albifrons);1
Blisgås x Bramgås (hybrid);1
Blisgås x Rødhalset Gås (hybrid);1
Blisgås, Grønlandsk (ssp. flavirostris);1
Blisgås/Dværggås;1
Blishøne;1000
Blishøne x Rørhøne (hybrid);1
Blå Glente;1
Blå Kærhøg;1
Blå Kærhøg x Steppehøg (hybrid);1
Blåhals;1
Blåhals, Nordlig (ssp. svecica);1
Blåhals, Sydlig (ssp. cyanecula);1
Blåmejse;50
Blåstjert;1
Blåvinget And;1
Bogfinke;500
Bogfinke/Kvækerfinke;500
Bomlærke;25
Bonapartemåge;1
Braksvale sp.;1
Bramgås;50
Bramgås x Dværgcanadagås (hybrid);1
Bramgås x Dværggås (hybrid);1
Bramgås x Rødhalset Gås (hybrid);1
Brilleand;1
Brilleterne;1
Broget Fluesnapper;2
Broget Krage;1
Brokfugl sp.;1
Brudeand;1
Brun Fluesnapper;1
Brun Løvsanger;1
Brun Sule;1
Brun Tornskade;1
Brundrossel;1
Brunhovedet Værling;1
Brunhovedet Værling/Hætteværling;1
Brunirisk;1
Brushane;20
Burfugl sp.;1
Buskrørsanger;1
Bynkefugl;5
Bynkefugl x Sortstrubet Bynkefugl (hybrid);1
Bysvale;100
Bøffeland;1
Canadagås;200
Canadagås x Bramgås (hybrid);1
Canadagås x Grågås (hybrid);1
Canadisk Kobbersneppe;1
Cariberflamingo;1
Cettisanger;1
Chileflamingo;1
Chilepibeand;1
Chukarhøne;1
Cistussanger;1
Citronvipstjert;1
Citronvipstjert x Gul Vipstjert (hybrid);1
Damklire;1
Digesvale;100
Dobbeltbekkasin;50
Dompap;20
Dompap, Lille (ssp. europaea);5
Dompap, Stor (ssp. pyrrhula);10
Drossel sp.;200
Drosselrørsanger;1
Due sp.;500
Duehøg;1
Duehøg, Russisk (ssp. buteoides);1
Dværgcanadagås;1
Dværgfalk;1
Dværggås;1
Dværghejre;1
Dværghornugle;1
Dværglærke;1
Dværgmåge;1
Dværgryle;1
Dværgryle/Temmincksryle;1
Dværgrørvagtel;1
Dværgskarv;1
Dværgsnegås;1
Dværgsnegås x Bramgås (hybrid);1
Dværgterne;1
Dværgtrappe;1
Dværgværling;1
Dværgørn;1
Dykand hybrid;1
Dykand sp. (Aythya sp.);1
Ederfugl;750
Ederfugl, Arktisk (ssp. borealis);1
Eleonorafalk;1
Ellekrage;1
Engpiber;200
Engsnarre;1
Enkeltbekkasin;1
Ensfarvet Stær;1
Eremitdrossel;1
Eremitibis;1
Falk sp.;10
Fasan;25
Finke sp.;1000
Fiskehejre;50
Fiskeørn;1
Fjeldvåge;1
Fjordterne;200
Fjordterne/Havterne;200
Flamingo sp.;1
Flodsanger;1
Fluesnapper sp.;1
Fløjlsand;15
Fuglekonge;20
Fuglekongesanger;1
Fyrremejse;1
Fyrremejse, Nordlig (ssp. borealis);1
Fyrremejse, Pilemejse (ssp. salicarius);1
Gransanger;10
Gransanger x Løvsanger (hybrid);1
Gransanger, Sibirisk (ssp. tristis);1
Gransanger, Skandinavisk (ssp. abietinus);5
Gransanger, Sydlig (ssp. collybita);5
Gravand;100
Grib sp.;1
Grå Fluesnapper;2
Grå Gås sp.;500
Gråand;1000
Gråand x Ederfugl (hybrid);1
Gråand x Knarand (hybrid);1
Gråand x Moskusand (hybrid);1
Gråand x svømmeand sp. (hybrid);1
Gråand x Troldand (hybrid);1
Grågås;500
Grågås x Blisgås (hybrid);1
Grågås x Bramgås (hybrid);1
Gråmåge;1
Gråsejler;1
Gråsisken;20
Gråsisken, Grønlandsk (ssp. rostrata);1
Gråsisken, Hvidsisken (ssp. exilipes);1
Gråsisken, Lille (ssp. cabaret);20
Gråsisken, Nordlig (ssp. flammea);20
Gråspurv;20
Gråspurv x Skovspurv (hybrid);1
Gråspurv/Skovspurv;50
Gråspætte;1
Gråstrubet Drossel;1
Gråstrubet Lappedykker;10
Gråvinget Måge;1
Græshoppesanger;1
Grøn Biæder;1
Grøn Sanger;1
Grønirisk;100
Grønsisken;100
Grønspætte;1
Gul Sanger;1
Gul Vipstjert;50
Gul Vipstjert (ssp. flava);50
Gul Vipstjert, Almindelig x Gulhovedet (hybrid);1
Gul Vipstjert, Gulhovedet (ssp. flavissima);1
Gul Vipstjert, Nordlig (ssp. thunbergi);25
Gul Vipstjert, Sorthovedet (ssp. feldegg);1
Gulbrynet Værling;1
Gulbrystet Værling;1
Gulbug;5
Gulddrossel;1
Guldfasan;1
Guldspætte;1
Gulgrå Værling;1
Gulirisk;1
Gulnæbbet Gøg;1
Gulspurv;50
Gås sp.;1000
Gåsegrib;1
Gærdesanger;10
Gærdesanger, Sibirisk (ssp. blythi);1
Gærdesanger, Sibirisk/Steppe (ssp. blythi/halimodendri);1
Gærdesanger, Steppe (ssp. halimodendri);1
Gærdesmutte;15
Gærdesmutte, Nordatlantisk (fridariensis/hirtensis/borealis);1
Gærdeværling;1
Gøg;5
Halemejse;10
Halemejse, Nordlig (ssp. caudatus);5
Halemejse, Sydlig (ssp. europaeus);5
Halsbåndstroldand;1
Halsbåndstroldand x Troldand (hybrid);1
Havdykand sp. (Mergini);100
Havesanger;5
Havlit;1
Havterne;50
Havørn;1
Hedehøg;1
Hedelærke;1
Hejre sp.;1
Hejre sp. (hvid);1
Hellig Ibis;1
Himalayasanger;1
Hjejle;1500
Hjelmskallesluger;1
Hortulan;1
Huldue;1
Huskrage;1
Husrødstjert;2
Husrødstjert, Tien-Shan (ssp. phoenicuroides);1
Husskade;50
Hvepsevåge;1
Hvid Pelikan;1
Hvid Stork;1
Hvid Vipstjert;50
Hvid Vipstjert (ssp. alba);50
Hvid Vipstjert, Sortrygget Vipstjert (ssp. yarrellii);1
Hvidbrynet Løvsanger;1
Hvidbrystet Præstekrave;1
Hvidhalset Fluesnapper;1
Hvidhalset Fluesnapper x Broget Fluesnapper (hybrid);1
Hvidhovedet And;1
Hvidhovedet Havørn;1
Hvidkindet Værling;1
Hvidklire;50
Hvidkronet Spurv;1
Hvidkronet Stenpikker;1
Hvidnæbbet Lom;1
Hvidrygget Ryle;1
Hvidskægget Terne;1
Hvidstrubet Spurv;1
Hvidvinget Korsnæb;1
Hvidvinget Måge;1
Hvidvinget Måge (ssp. glaucoides);1
Hvidvinget Måge, Baffinmåge (ssp. kumlieni);1
Hvidvinget Måge, Inuitmåge (ssp. thayeri);1
Hvidvinget Terne;1
Hvidøjet And;1
Hvidøjet And x Taffeland (hybrid);1
Hvidøjet And x Troldand (hybrid);1
Hvinand;500
Hvinand x Lille Skallesluger (hybrid);1
Hybrid sp.;1
Hærfugl;1
Hættemåge;500
Hætteværling;1
Høg sp.;1
Høgesanger;1
Høgeugle;1
Høgeørn;1
Iberisk Blåskade;1
Iberisk Gransanger;1
Iberisk Sanger;1
Indigofinke;1
Indisk Gås;1
Indisk Gås X Bramgås (hybrid);1
Indisk Gås X Canadagås (hybrid);1
Indisk Gås X Grågås (hybrid);1
Isabellastenpikker;1
Isfugl;1
Islandsk Ryle;50
Islandsk Ryle, Baffinryle (ssp. islandica);25
Islandsk Ryle, Sibirisk (ssp. canutus);25
Islandsk Ryle/Lille Kobbersneppe;50
Islom;1
Islom/Hvidnæbbet Lom;1
Ismåge;1
Jagtfalk;1
Japansk Trane;1
Jernspurv;10
Jomfrutrane;1
Kaffersejler;1
Kalanderlærke;1
Kalkungrib;1
Kanariefugl;1
Kaneland;1
Karmindompap;1
Kaspisk Måge;1
Kaspisk Præstekrave;1
Kejsergås;1
Kejserørn;1
Kernebider;5
Kirkeugle;1
Kjove sp.;1
Klippedue (tamdue);100
Klippesvale;1
Klippeværling;1
Klireryle;1
Klyde;50
Knarand;5
Knopsvane;400
Knortegås;100
Knortegås x Rødhalset Gås (hybrid);1
Knortegås, Lysbuget (ssp. hrota);30
Knortegås, Mørkbuget (ssp. bernicla);100
Knortegås, Mørkbuget x Sortbuget (hybrid);1
Knortegås, Sortbuget (ssp. nigricans);1
Kohejre;1
Kongeederfugl;1
Kongeederfugl x Ederfugl (hybrid);1
Kongefasan;1
Kongeørn;1
Korsnæb sp.;25
Kortnæbbet Gås;700
Korttået Lærke;1
Korttået Træløber;1
Krage;200
Krage, Gråkrage (ssp. cornix);200
Krage, Sortkrage (ssp. corone);1
Kragefugl sp.;200
Krikand;600
Krikand x Amerikansk Krikand (hybrid);1
Krikand x Gråand (hybrid);1
Krikand, Amerikansk (ssp. carolinensis);1
Krognæb;1
Krumnæbbet Ryle;1
Krøltoppet Pelikan;1
Kvækerfinke;500
Kærhøg sp.;3
Kærløber;1
Kærsanger;5
Lammegrib;1
Landsvale;250
Landsvale x Bysvale (hybrid);1
Landsvale, Libanonlandsvale (ssp. transitiva);1
Langhalet Rosenfinke;1
Langhalet Tornskade;1
Langnæbbet Sneppeklire;1
Lannerfalk;1
Lappedykker sp.;10
Lapværling;1
Lapværling/Snespurv;1
Lattermåge;1
Lille Bjergand;1
Lille Bjergand x Troldand (hybrid);1
Lille Flagspætte;1
Lille Flagspætte, Nordlig (ssp. minor);1
Lille Flagspætte, Sydlig (ssp. hortorum);1
Lille Flamingo;1
Lille Fluesnapper;1
Lille Gulben;1
Lille Gulbug;1
